timestamp,timestep,lat,lon,fire count
2017-01-04 12:00:00,12,33.5,-116.25,1.0
2017-01-04 12:00:00,12,34.0,-117.5,4.0
2017-01-04 12:00:00,12,35.0,-118.75,6.0
2017-01-04 12:00:00,12,36.5,-120.0,10.0
2017-01-04 12:00:00,12,36.5,-118.75,5.0
2017-01-04 12:00:00,12,37.5,-121.25,6.0
2017-01-04 12:00:00,12,38.0,-121.25,5.0
2017-01-04 12:00:00,12,38.5,-121.875,7.0
2017-01-04 12:00:00,12,39.0,-122.5,3.0
2017-01-04 12:00:00,12,39.0,-121.25,6.0
2017-01-04 12:00:00,12,40.0,-122.5,2.0
2017-01-05 00:00:00,24,33.5,-116.25,1.0
2017-01-05 00:00:00,24,34.0,-117.5,6.0
2017-01-05 00:00:00,24,35.0,-118.75,8.0
2017-01-05 00:00:00,24,36.5,-120.0,14.0
2017-01-05 00:00:00,24,36.5,-118.75,8.0
2017-01-05 00:00:00,24,37.5,-121.25,8.0
2017-01-05 00:00:00,24,38.0,-121.25,7.0
2017-01-05 00:00:00,24,38.5,-121.875,10.0
2017-01-05 00:00:00,24,39.0,-122.5,5.0
2017-01-05 00:00:00,24,39.0,-121.25,8.0
2017-01-05 00:00:00,24,40.0,-122.5,2.0
2017-01-05 12:00:00,36,34.0,-117.5,3.0
2017-01-05 12:00:00,36,35.0,-118.75,6.0
2017-01-05 12:00:00,36,36.5,-120.0,12.0
2017-01-05 12:00:00,36,36.5,-118.75,5.0
2017-01-05 12:00:00,36,37.5,-121.25,4.0
2017-01-05 12:00:00,36,38.0,-121.25,4.0
2017-01-05 12:00:00,36,38.5,-121.875,8.0
2017-01-05 12:00:00,36,39.0,-122.5,3.0
2017-01-05 12:00:00,36,39.0,-121.25,6.0
2017-01-05 12:00:00,36,40.0,-122.5,2.0
2017-01-06 00:00:00,48,34.0,-117.5,1.0
2017-01-06 00:00:00,48,35.0,-118.75,3.0
2017-01-06 00:00:00,48,36.5,-120.0,8.0
2017-01-06 00:00:00,48,36.5,-118.75,3.0
2017-01-06 00:00:00,48,37.5,-121.25,3.0
2017-01-06 00:00:00,48,38.0,-121.25,3.0
2017-01-06 00:00:00,48,38.5,-121.875,6.0
2017-01-06 00:00:00,48,39.0,-122.5,2.0
2017-01-06 00:00:00,48,39.0,-121.25,3.0
