timestamp,lat,lon,TSURF,MIR,PRECTOT,SPEEDMAX,fire_count,timestep
2017-01-04 12:00:00,34.0,-120.625,287.41428,0.8,0.0001853,8.89,-20.0,12
2017-01-04 12:00:00,34.0,-120.0,286.47546,0.2646,0.000306,7.094,-20.0,12
2017-01-04 12:00:00,34.0,-119.375,286.31488,0.2329,0.0002139,5.445,-20.0,12
2017-01-04 12:00:00,34.0,-118.75,286.0297,0.2269,0.0002487,4.785,-20.0,12
2017-01-04 12:00:00,34.0,-118.125,284.5249,0.2173,0.000164,4.56,-20.0,12
2017-01-04 12:00:00,34.0,-117.5,283.03476,0.223,5.13e-05,5.152,-20.0,12
2017-01-04 12:00:00,34.0,-116.875,281.5822,0.2065,4.774e-05,6.93,-20.0,12
2017-01-04 12:00:00,34.0,-116.25,283.80182,0.0853,1.436e-05,6.414,-20.0,12
2017-01-04 12:00:00,34.0,-115.625,285.40494,0.06027,0.0,4.176,-20.0,12
2017-01-04 12:00:00,34.0,-115.0,286.09442,0.0626,0.0,4.418,-20.0,12
2017-01-04 12:00:00,34.0,-114.375,286.57812,0.1062,0.0,4.14,-20.0,12
2017-01-04 12:00:00,34.0,-113.75,285.68106,0.07465,0.0,4.54,-20.0,12
2017-01-04 12:00:00,34.5,-123.75,270.60733,0.8,8.017e-05,10.79,-20.0,12
2017-01-04 12:00:00,34.5,-123.125,270.60733,0.8,6.14e-05,10.97,-20.0,12
2017-01-04 12:00:00,34.5,-122.5,270.60733,0.8,8.34e-05,10.86,-20.0,12
2017-01-04 12:00:00,34.5,-121.875,270.60733,0.8,9.09e-05,10.8,-20.0,12
2017-01-04 12:00:00,34.5,-121.25,286.53793,0.8,0.0001335,10.62,-20.0,12
2017-01-04 12:00:00,34.5,-120.625,286.32803,0.8,0.0003831,9.984,-20.0,12
2017-01-04 12:00:00,34.5,-120.0,284.5708,0.247,0.0007524,7.92,-20.0,12
2017-01-04 12:00:00,34.5,-119.375,282.10135,0.1974,0.0009685,6.0,-20.0,12
2017-01-04 12:00:00,34.5,-118.75,281.85544,0.1841,0.0003796,6.25,-20.0,12
2017-01-04 12:00:00,34.5,-118.125,281.20837,0.1263,0.0002393,7.332,-20.0,12
2017-01-04 12:00:00,34.5,-117.5,280.80753,0.1011,8.33e-05,7.97,-20.0,12
2017-01-04 12:00:00,34.5,-116.875,281.38974,0.09406,1.22e-05,9.22,-20.0,12
2017-01-04 12:00:00,34.5,-116.25,284.29684,0.06122,1.9e-06,7.215,-20.0,12
2017-01-04 12:00:00,34.5,-115.625,285.5235,0.05975,0.0,3.797,-20.0,12
2017-01-04 12:00:00,34.5,-115.0,284.33997,0.07227,0.0,5.41,-20.0,12
2017-01-04 12:00:00,34.5,-114.375,285.33447,0.06506,0.0,5.152,-20.0,12
2017-01-04 12:00:00,34.5,-113.75,284.32,0.0808,0.0,5.367,-20.0,12
2017-01-04 12:00:00,35.0,-123.75,270.60733,0.8,0.0002537,12.46,-20.0,12
2017-01-04 12:00:00,35.0,-123.125,270.60733,0.8,0.0001428,12.305,-20.0,12
2017-01-04 12:00:00,35.0,-122.5,270.60733,0.8,0.0001114,12.195,-20.0,12
2017-01-04 12:00:00,35.0,-121.875,287.9301,0.8,0.0001193,11.95,-20.0,12
2017-01-04 12:00:00,35.0,-121.25,286.82733,0.8,0.0002964,11.57,-20.0,12
2017-01-04 12:00:00,35.0,-120.625,285.84613,0.8,0.0007296,11.88,-20.0,12
2017-01-04 12:00:00,35.0,-120.0,283.54276,0.196,0.0007114,10.69,-20.0,12
2017-01-04 12:00:00,35.0,-119.375,282.67294,0.1887,0.0002484,9.766,-20.0,12
2017-01-04 12:00:00,35.0,-118.75,280.70026,0.2134,0.0001717,5.8,-20.0,12
