timestamp,lat,lon,T2M,MIR,PRECTOT,SPEEDMAX,fire_count,timestep
2017-11-23 00:00:00,34.0,-118.75,296.0,0.1873,0.0,7.85,-20.0,12
2017-11-23 00:00:00,34.0,-118.125,295.0,0.1775,0.0,6.414,-20.0,12
2017-11-23 00:00:00,34.0,-117.5,293.8,0.1758,0.0,5.934,-20.0,12
2017-11-23 00:00:00,34.0,-116.875,291.5,0.189,0.0,4.258,-20.0,12
2017-11-23 00:00:00,34.0,-116.25,291.0,0.10266,0.0,4.41,-20.0,12
2017-11-23 00:00:00,34.0,-115.625,292.5,0.0756,0.0,5.977,-20.0,12
2017-11-23 00:00:00,34.0,-115.0,293.2,0.0768,0.0,7.832,-20.0,12
2017-11-23 00:00:00,34.0,-114.375,294.0,0.1302,0.0,6.438,-20.0,12
2017-11-23 00:00:00,34.0,-113.75,293.2,0.094,0.0,8.16,-20.0,12
2017-11-23 00:00:00,34.5,-123.75,290.0,0.8,8.1e-06,7.457,-20.0,12
2017-11-23 00:00:00,34.5,-123.125,290.0,0.8,4.6e-06,7.844,-20.0,12
2017-11-23 00:00:00,34.5,-122.5,290.0,0.8,1.9e-06,8.625,-20.0,12
2017-11-23 00:00:00,34.5,-121.875,290.0,0.8,1.2e-06,9.03,-20.0,12
2017-11-23 00:00:00,34.5,-121.25,290.0,0.8,6.6e-07,8.91,-20.0,12
2017-11-23 00:00:00,34.5,-120.625,290.5,0.8,1e-06,8.234,-20.0,12
2017-11-23 00:00:00,34.5,-120.0,294.5,0.1882,0.0,5.582,-20.0,12
2017-11-23 00:00:00,34.5,-119.375,295.2,0.2059,0.0,4.727,-20.0,12
2017-11-23 00:00:00,34.5,-118.75,291.8,0.1771,0.0,6.504,-20.0,12
2017-11-23 00:00:00,34.5,-118.125,291.5,0.1544,0.0,6.34,-20.0,12
2017-11-23 00:00:00,34.5,-117.5,290.0,0.1287,0.0,5.11,-20.0,12
2017-11-23 00:00:00,34.5,-116.875,290.0,0.10583,0.0,4.316,-20.0,12
2017-11-23 00:00:00,34.5,-116.25,292.5,0.0738,0.0,3.947,-20.0,12
2017-11-23 00:00:00,34.5,-115.625,293.0,0.0705,0.0,6.258,-20.0,12
2017-11-23 00:00:00,34.5,-115.0,291.8,0.0796,0.0,8.97,-20.0,12
2017-11-23 00:00:00,34.5,-114.375,293.0,0.06726,0.0,9.234,-20.0,12
2017-11-23 00:00:00,34.5,-113.75,292.5,0.0919,0.0,10.98,-20.0,12
2017-11-23 00:00:00,35.0,-123.75,290.2,0.8,4.5e-06,7.035,-20.0,12
2017-11-23 00:00:00,35.0,-123.125,290.0,0.8,4.5e-06,7.594,-20.0,12
2017-11-23 00:00:00,35.0,-122.5,289.8,0.8,2.5e-06,8.52,-20.0,12
2017-11-23 00:00:00,35.0,-121.875,289.5,0.8,8.34e-06,9.62,-20.0,12
2017-11-23 00:00:00,35.0,-121.25,289.5,0.8,3.5e-06,8.82,-20.0,12
2017-11-23 00:00:00,35.0,-120.625,290.8,0.8,4.4e-06,5.387,-20.0,12
2017-11-23 00:00:00,35.0,-120.0,292.5,0.1544,0.0,5.125,-20.0,12
2017-11-23 00:00:00,35.0,-119.375,294.5,0.1609,0.0,2.39,-20.0,12
2017-11-23 00:00:00,35.0,-118.75,291.0,0.1838,0.0,5.0,-20.0,12
2017-11-23 00:00:00,35.0,-118.125,290.5,0.1225,0.0,5.09,-20.0,12
2017-11-23 00:00:00,35.0,-117.5,292.0,0.1038,0.0,4.508,-20.0,12
2017-11-23 00:00:00,35.0,-116.875,292.5,0.0925,0.0,3.072,-20.0,12
2017-11-23 00:00:00,35.0,-116.25,294.5,0.0695,0.0,3.217,-20.0,12
2017-11-23 00:00:00,35.0,-115.625,288.5,0.0951,0.0,6.65,-20.0,12
2017-11-23 00:00:00,35.0,-115.0,289.0,0.09546,0.0,8.36,-20.0,12
2017-11-23 00:00:00,35.0,-114.375,291.0,0.0889,0.0,8.94,-20.0,12
2017-11-23 00:00:00,35.0,-113.75,289.0,0.11346,0.0,11.37,-20.0,12
2017-11-23 00:00:00,35.5,-123.75,290.5,0.8,3.2e-06,6.36,-20.0,12
2017-11-23 00:00:00,35.5,-123.125,290.0,0.8,3.9e-06,7.12,-20.0,12
2017-11-23 00:00:00,35.5,-122.5,289.5,0.8,7.1e-06,8.055,-20.0,12
2017-11-23 00:00:00,35.5,-121.875,289.5,0.8,1.23e-05,9.67,-20.0,12
2017-11-23 00:00:00,35.5,-121.25,291.0,0.2045,0.0,7.83,-20.0,12
2017-11-23 00:00:00,35.5,-120.625,293.0,0.1769,1.3e-06,3.998,-20.0,12
2017-11-23 00:00:00,35.5,-120.0,292.2,0.155,0.0,4.633,-20.0,12
2017-11-23 00:00:00,35.5,-119.375,295.5,0.2039,0.0,4.87,0.1666,12
2017-11-23 00:00:00,35.5,-118.75,293.0,0.1719,0.0,5.785,-20.0,12
2017-11-23 00:00:00,35.5,-118.125,289.5,0.1403,0.0,3.924,-20.0,12
2017-11-23 00:00:00,35.5,-117.5,293.0,0.08716,0.0,3.111,-20.0,12
2017-11-23 00:00:00,35.5,-116.875,293.2,0.0724,0.0,2.477,-20.0,12
2017-11-23 00:00:00,35.5,-116.25,293.2,0.0709,0.0,3.887,-20.0,12
2017-11-23 00:00:00,35.5,-115.625,287.5,0.1067,0.0,6.188,-20.0,12
2017-11-23 00:00:00,35.5,-115.0,287.5,0.08856,0.0,5.04,-20.0,12
2017-11-23 00:00:00,35.5,-114.375,289.5,0.0785,0.0,5.77,-20.0,12
2017-11-23 00:00:00,35.5,-113.75,286.5,0.1181,0.0,9.36,-20.0,12
2017-11-23 00:00:00,36.0,-123.75,290.5,0.8,2.4e-06,5.77,-20.0,12
2017-11-23 00:00:00,36.0,-123.125,290.0,0.8,2.74e-06,6.414,-20.0,12
2017-11-23 00:00:00,36.0,-122.5,289.0,0.8,1.27e-05,6.49,-20.0,12
2017-11-23 00:00:00,36.0,-121.875,289.0,0.03564,3.207e-05,7.25,-20.0,12
2017-11-23 00:00:00,36.0,-121.25,290.5,0.1909,0.0,5.395,-20.0,12
